id_pedido,data,categoria,quantidade,preco_unitario,receita
1,2025-01-02,Eletrônicos,5,1559.58,7797.9
2,2025-01-03,Esportes,5,215.6,1078.0
3,2025-01-03,Eletrônicos,1,1497.06,1497.06
4,2025-01-04,Casa,4,259.53,1038.12
5,2025-01-06,Eletrônicos,2,1397.73,2795.46
6,2025-01-07,Casa,2,295.7,591.4
7,2025-01-07,Casa,3,236.44,709.32
8,2025-01-08,Esportes,5,286.24,1431.2
9,2025-01-08,Casa,1,254.4,254.4
10,2025-01-09,Eletrônicos,5,1238.09,6190.45
11,2025-01-09,Casa,5,258.71,1293.55
12,2025-01-09,Esportes,1,287.44,287.44
13,2025-01-10,Casa,2,337.9,675.8
14,2025-01-10,Casa,2,249.45,498.9
15,2025-01-12,Roupas,2,93.44,186.88
16,2025-01-12,Esportes,2,321.5,643.0
17,2025-01-13,Casa,3,260.06,780.18
18,2025-01-14,Roupas,5,146.32,731.6
19,2025-01-14,Esportes,1,248.47,248.47
20,2025-01-16,Eletrônicos,5,1042.25,5211.25
21,2025-01-16,Casa,5,235.87,1179.35
22,2025-01-17,Esportes,2,225.42,450.84
23,2025-01-17,Casa,4,344.79,1379.16
24,2025-01-22,Esportes,5,253.3,1266.5
25,2025-01-24,Eletrônicos,4,1100.31,4401.24
26,2025-01-24,Roupas,1,137.17,137.17
27,2025-01-25,Eletrônicos,3,1172.07,3516.21
28,2025-01-25,Esportes,4,179.48,717.92
29,2025-01-28,Livros,2,64.38,128.76
30,2025-01-29,Casa,3,381.58,1144.74
31,2025-01-29,Roupas,5,112.41,562.05
32,2025-01-30,Casa,2,234.7,469.4
33,2025-01-31,Esportes,5,235.47,1177.35
34,2025-01-31,Casa,3,345.27,1035.81
35,2025-01-31,Roupas,5,115.54,577.7
36,2025-02-01,Casa,5,269.53,1347.65
37,2025-02-01,Roupas,4,101.66,406.64
38,2025-02-02,Livros,4,72.45,289.8
39,2025-02-02,Eletrônicos,5,1027.45,5137.25
40,2025-02-03,Casa,4,378.37,1513.48
41,2025-02-03,Livros,1,77.95,77.95
42,2025-02-03,Eletrônicos,4,1167.21,4668.84
43,2025-02-04,Livros,5,70.57,352.85
44,2025-02-04,Casa,5,309.39,1546.95
45,2025-02-04,Roupas,3,117.18,351.54
46,2025-02-05,Livros,5,69.3,346.5
47,2025-02-05,Casa,4,239.44,957.76
48,2025-02-07,Roupas,3,106.98,320.94
49,2025-02-08,Casa,3,285.36,856.08
50,2025-02-08,Esportes,4,189.55,758.2
51,2025-02-09,Esportes,5,280.21,1401.05
52,2025-02-09,Livros,2,63.97,127.94
53,2025-02-09,Casa,3,220.71,662.13
54,2025-02-11,Eletrônicos,3,987.17,2961.51
55,2025-02-12,Esportes,3,322.12,966.36
56,2025-02-13,Livros,4,51.18,204.72
57,2025-02-13,Casa,5,363.24,1816.2
58,2025-02-13,Casa,3,319.89,959.67
59,2025-02-14,Livros,2,53.46,106.92
60,2025-02-14,Livros,3,61.4,184.2
61,2025-02-15,Esportes,1,298.47,298.47
62,2025-02-16,Eletrônicos,3,862.52,2587.56
63,2025-02-16,Eletrônicos,4,1022.29,4089.16
64,2025-02-16,Livros,1,59.84,59.84
65,2025-02-17,Livros,3,48.35,145.05
66,2025-02-17,Eletrônicos,3,1317.81,3953.43
67,2025-02-18,Esportes,4,200.2,800.8
68,2025-02-18,Esportes,5,306.26,1531.3
69,2025-02-21,Roupas,3,141.46,424.38
70,2025-02-21,Esportes,4,269.83,1079.32
71,2025-02-21,Casa,2,358.79,717.58
72,2025-02-21,Livros,3,76.62,229.86
73,2025-02-21,Esportes,3,268.41,805.23
74,2025-02-21,Livros,4,66.29,265.16
75,2025-02-22,Casa,1,280.73,280.73
76,2025-02-22,Eletrônicos,5,840.37,4201.85
77,2025-02-24,Casa,5,318.28,1591.4
